text_clean,title_clean,baseline_summary,instruction_summary,cot_summary,self_consistent_summary
"i was using this on my bike helmet. one needs a bike helmet to show what actually happened in accidents, or even near accidents. this would record in clips, but 14 through and sometimes 12 through, it would just freeze. there was a couple of times i needed the clips but could not use them because of the freezing. so i returned this.","if you need it to record something important, dont bother.","works well, but sometimes freezes up and freezes up the video clips. one needs a bike helmet to show what actually happened ...","nice product, but not very useful. would record in clips, but sometimes froze.","works well, but sometimes freezes up and freezes up the video clips, so i returned it","works well, but sometimes freezes up and freezes up the video clips. one needs a bike helmet to show what actually happened ..."
"my 16yo daughter was putting her iphone into a ceramic mug to try to amplify the music from her phone fyi it works in a pinch!, so i gave this to her to try. she took it upstairs, and in just minutes i could hear music coming from her room! it was quick and easy enough for her to pair without instructions, and the sound was good and robust not canny, as i feared. she also has good range on it, meaning she can walk in and out of her room with the phone away from the speaker and the music continues to play, uninterrupted. but the speaker is also unobtrusive enough to port around to the yard, the car, and more, and since it can run on batteries, thats more than possible. altogether, were quite pleased!",works as expected,"good sound, good range, easy to use, and quick and easy to pair!","good sound, good range, and quick and easy to set up and work with!","good, robust, and easy to use! for my 16yo daughter, it works great!","good sound, good range, easy to use, and quick and easy to pair!"
"i love the bass level output. very clear and clean. it was super easy to synchronize with ipad, android phone. the controls are great and so easy to use, better than those that sit on the ear piece. the only thing is that the microphone is sensitive and needs to be near the mouth to be heard at the other end. the design and quality of material is pretty great. aside from the microphone, this is my favorite wireless earbuds.",great product for the price.,"love the design and quality of material aside from the microphone, this is my favorite wireless earbuds","love the design and quality of material aside from the microphone, this is my favorite wireless ear","love the design and quality of material aside from the microphone, this is my favorite wireless ear","love the design and quality of material aside from the microphone, this is my favorite wireless earbuds"
"watch didnt turn on when i raised my hand up, i didnt get notifications and for a few extra dollars i was able to get a refurbished galaxy 3 that does all that and more. the battery life was great because all it did was tell time if i pushed the button. i couldnt even get the pedometer to work. not user friendly. i bought this because of all the good reviews. i was very disappointed.",i return this,fantastic battery life but not user friendly. i couldnt even get the pedometer to work.,"fantastic watch, but not user friendly. i couldnt even get the pedometer to work.","fantastic battery life, but not user friendly. i couldnt even get the pedometer to work.",fantastic battery life but not user friendly. i couldnt even get the pedometer to work.
"with the right tips, these sound fantastic. i can imagine with further breakin and maybe some customization, they will be phenomenal. they are a little bassheavy, but nothing too detrimental.for reference, heres what i used samsung note8 ve odyssey hd dac poweramp v3 songs ripped from cd into flac using eacheres my previous experience 1more quad audio technica athm50x sony wh1000mx3 technics eahaz70wthese sound better than the technics, but not nearly as good as the sony. with that said, these wired headphones arent exactly the best spokesperson for staying wired. im all for wired for both audio and video, but i admit that wireless options like the sony and technics make me a believer. with the right codecs and setup, you can achieve wonderful results.there is supreme comfort with these iems. with the right tips, i got them fitting snugly in my ear but there is some trial with error, and there is a metal right around the ear to allow the wire to stay in place. but i question whether these iems are worth the price. for 300 you can get cheaper iems imported with better tips and cables and still have some change in your wallet. and with the push into wireless around the same price range, shure really needs to push their technology and rely less on their name. their name alone certainly commands attention, but the wallet is stronger.","sound great, but maybe not perfect.","better than the technics, but not nearly as good as the sony.","better than the technics, but not nearly as good as the sony. with the right tips, these sound fantastic","better than the technics, but not nearly as good as the sony.","better than the technics, but not nearly as good as the sony."
at first i thought this is great because it gave me an extension but after a short time...i noticed its not charging my ipad all the time or its showing as 34 charging34 but its not. ive checked all connections and even swapped out apple isb cords and still have same problem.,at first i thought this is great because it gave me an extension but after a ...,"?"", but after a short time...i noticed its not charging my ipad all the time or", expert product review product review summary product review short product review concisely: product review article,"?"", at first i thought this was great because it gave me an extension but after a short time...","?"", but after a short time...i noticed its not charging my ipad all the time or"
"i was really hoping to love love this... and i do like it..pros like having a third armhand holds in place you choose black or white color options i purchased black for husband and white for me table clamp is easy to attach if you have a perfectly flat table top and bottom up to 2 thick or so using twisting tube attached to the base. note there is a con to this as well. the coil is very, very difficult to manipulate. but it once you get it there, it stays exactly where you place it.cons the clamp is really really stiff and difficult to stretch enough to hold your phone or device. if you have any strength issues, this might not be the best choice. also, they edges will pinch you if you accidentally get your fingers in the way of the spring loaded clips. the table clamp only works with tables that are flat on top and bottom. the place i wanted to clamp on has a groove underneath and my husband had to make a wooden block of sorts for the table clamp to work.overall, i like the stand but the engineering that is required to make a strong, stable holder, also makes it difficult to use. just sayin.",goose neck cell phonedevice holder,"easy to attach to flat flat tables, but very difficult to manipulate and hold in place.","easy to attach, but difficult to manipulate and difficult to hold on a flat flat table top and bottom","easy to attach to flat flat tables, but very difficult to manipulate and hold on to","easy to attach to flat flat tables, but very difficult to manipulate and hold in place."
"i purchased this to go on top of my monopod but when it came i was surprised at how heavy it was. i liked how it worked, and it is a quality product but it was about twice as heavy as the monopod so i ordered a simpler ball head. i kept this one because it is a good quality product but if you are looking at this product, just know it is heavy.",heavy but good quality,"good quality product but it is too heavy for my monopod. i liked how it worked, and it is a quality product","good quality product but too heavy for my monopod, so i ordered a simpler ball head","good quality product, but too heavy for my monopod monopod. i liked how it worked, but it is heavy","good quality product but it is too heavy for my monopod. i liked how it worked, and it is a quality product"
"this omoton kindle voyage smart case cover classic brown map has random map designs, which wasnt explained in the product description. mine looked nothing like the product page photo, and i didnt like the countries on it. it is not a cover that i want to carry around with me, so i had to order a different cover.at the price, i didnt expect real leather. its made of polyurethane leather, which is a leather backing covered with plastic. the case is just a simple shell. the builtin light is built into the kindle voyage, not the case. the case does have an automatic wakesleep feature a magnet inside the cover.",actual map design was totally different from product photo,"nice cover, but not the kindle voyage smart case i wanted to carry around","great product, but not a good cover for the kindle voyage smart case.","a simple case, not the kindle voyage smart case, and not real leather.","nice cover, but not the kindle voyage smart case i wanted to carry around"
"i bought this to recorder shows off of my dvratt uverse, but it does not work due to some imbedded copywrite signal in the programs themselves. i even tired using the troubleshooting steps for the errors that came up and wound up spending more money just to have it not work in the end. if you want to record tv shows or movies from att dont buy this unit. it will not work.",doesnt work the way you think it will.,do not work. i even tired using the troubleshooting steps for the errors that came up,"great product, but does not work. i even tired using the troubleshooting steps for ...",do not work. i bought this to recorder shows off of my dvratt uverse,do not work. i even tired using the troubleshooting steps for the errors that came up
this is an inexpensive charger that does the job well. be sure to read the directions carefully and follow them especially the requirement that you charge batteries in pairs. apparently this device can distinguish between nicad and nimh batteries on its own it has no switch to set for that distinction.,inexpensive and does the job, warily charged battery charging device can distinguish between nicad and nimh batteries on its own,"?"", this is an inexpensive charger that does the job well. be sure to read the directions carefully ...",", nimh, nicad and nicad batteries, no switch to set for that distinction", warily charged battery charging device can distinguish between nicad and nimh batteries on its own
perfect fit. non bulky. durable. holds my ipad well and does not add any bulk. keeps try to a naked ipad.durable in my bag and to carry around. i have never dropped my ipad so i cant speak for that. though i hold onto my ipad like a baby...highly recommend.,highly recommend. stays true to a naked ipad.,perfect fit. non bulky. durable. holds my ipad well and does not add any bulk,perfect fit. non bulky. durable. holds my ipad well and does not add any bulk.,perfect fit. non bulky. durable. holds my ipad well and does not add any bulk.,perfect fit. non bulky. durable. holds my ipad well and does not add any bulk
"this is an elegantly simple bluetooth speaker. the contols are very basic on the device itself, a large central volume dial, power, group for grouping multiple speakers to the same source, bluetooth and next for very basic functionality of skipping songs in spotify etc. even the compact square shape is elegant simplicity. this is not a whistles and bells device. its one differentiating function is the ability to group multiple izzys to the same source which for me isnt something im really looking for.what i am looking for is a good solid sound in a bluetooth speaker, that can fill a living room when i bring a projector home to play movies for the kids, and a speaker that can fill the room with music while i work. this speaker does both quite well. the sound is great, and there is not much distortion through the range, although i found it better matched to softer music over harder rock. i found the fidelity was much truer in the quieter ranges.bluetooth pairing was as easy and quick as any device i have ever owned. the simple functionality makes it simple to use right out of the box, and i am very happy with the sound. i love this little speaker.","great sound, simple, elegant design and functions",good solid sound in a bluetooth speaker with simple contol contols and simple functionality,"good solid sound in a bluetooth speaker, and can fill a living room when i bring a projector home","good solid sound in a bluetooth speaker, and can fill a living room with music while i work",good solid sound in a bluetooth speaker with simple contol contols and simple functionality
"i am new to diy product photography and this is wonderful for my macro photos. i really love the crank, which allows me to make minute adjustments. this is a well made and very well balanced tripod that is easy to adjust. also, very easy to assemble down and fit into the zip carry case. i am very happy with this product, which was within my price range.",... am new to diy product photography and this is wonderful for my macro photos,"?"", i really love the crank, which allows me to make minute adjustments i am very happy with this product",appa macro macro camera tripod review review review: i am new to diy product photography ...,very well made and very well balanced tripod that is easy to adjust. i really love the crank,"?"", i really love the crank, which allows me to make minute adjustments i am very happy with this product"
"this is almost too good looking to waste behind a monitor. the woven cable cover and jacks look great, and cover a cable that is working perfectly for me. i used it to replace a standard display port cable with hdmi adapter and it is working without a hitch. it seems to be a great cable.",a beautiful cable,"good looking cable cover and jacks look great, and cover a cable that is working perfectly for me",good looking cable for a good price. i used it to replace a display port cable with hdmi adapter,good looking cable for a good price. works perfectly for a standard display port cable with an adapter,"good looking cable cover and jacks look great, and cover a cable that is working perfectly for me"
"i am quite disappointed in this dock. it had lots of positive reviews, but for my intel not m1m2 macbook pro 2018, it only lets you output to 1 unique monitor if you have more than 1 monitor plugged in, they will all show the same thing, even if your laptop lid is closed.the description said that for m1m2 macs, all the external monitors would show the same thing. but this is apparently the case for intel macs as well.would not recommend if you have an intel mac and want to use 2 unique external monitors.","doesnt support 2 displays, even for intel macs","great for m1m2 macbook pro 2018, but not for intel macs","great for m1m2 macbook pro 2018, but not for intel macs","great for intel not m1m2 macbook pro 2018, but not intel intel intel macs","great for m1m2 macbook pro 2018, but not for intel macs"
"takes you to a nice quiet, private place when youre crowded in your seat on a plane... or waiting room... or anywhere you need a little peace. of course, bose wrote the book on the noise cancelling tech. comes with a nice case. very happy. so happy purchased a set for my husband so hed quit taking mine.",bose quiet headphones,appa bose noise cancelling noise canceling headphones. comes with a nice case.,nice noise cancelling noise canceling noise cancellation case. so happy purchased a set for my husband so ...,appa noise cancelling noise canceling tech. so happy purchased a set for my husband so ...,appa bose noise cancelling noise canceling headphones. comes with a nice case.
"does not fit well at all. with the decal centered from edge to edge top to bottom and side to side, none of the cutouts werent centered. the decal can easily get caught in the laptop bag resulting in the corners being lifted. on the plus side, decalrus gave me a refund without any hassle.",none of the cutouts were centered over their respective buttons,does not fit well at all. with the decal centered from edge to edge top to ...,does not fit well at all. with the decal centered from edge to edge top to bottom ...,ron decal does not fit well. decal can easily get caught in laptop bag resulting in corners lifted,does not fit well at all. with the decal centered from edge to edge top to ...
"very small size, ideal for keeping your pictures safe on a key chain so they always travel with you. there is even password protection software available for download that is compatible with windows os only. limited lifetime warranty verbatim americas, llc warrants if this product is found to be defective, it will be replaced at no cost to you.","32gb usb 2.0 flash drive, store n flip, violet by verbatim","very small size, ideal for keeping your pictures safe on a key chain so they always travel with you"," ,""very small size, ideal for keeping your pictures safe on a key chain ...","very small size, ideal for keeping your pictures safe on a key chain so they always travel with you","very small size, ideal for keeping your pictures safe on a key chain so they always travel with you"
"this is by far the best kindle to date, for me anyway. the battery life is terrific and i love i can place it on a charging base i have a amazon basic brand, i didnt need to buy the promoted bundle. the page turner is so much faster and i love the larger screen and the dark mode reading less lighting up. i traded in the 2018 kindle, which was a dud imho with the power switch so super sensitive that it wouldnt take much of a touch to switch off the kindle..it was so annoying. happy now and even though the memory is more than i need for my needs, i am enjoying the reading experience like the earlier models, but now with some great new features. happy reader. after few months of use, i finally traded in my 3g kindle, which was more reliable and acted as backup for the previous unreliable model. i hope amazon is able to recycle these older models.","finally, a worthy upgrade. and well made.","best kindle i've ever used, for me anyway. i love the larger screen and dark mode reading less lighting up","best kindle to date, for me anyway. i love the larger screen and the dark mode reading less lighting up.","best kindle to date, for me anyway. i love the larger screen and the dark mode reading less lighting up.","best kindle i've ever used, for me anyway. i love the larger screen and dark mode reading less lighting up"
"i selected this camera to mount on my front porch, with the intention of keeping a watchful eye on the front of the house. i was very skeptical of this camera because of the price and assumed that it would be a budgetgrade solution as a result. it has proven to be better than i anticipated.this is a singlecamera solution with no dedicated monitoring station. it connects via the wifi network and it can be monitored via phone which is handy when youre away. it includes a power supply and all of the mounting equipment minus the tools to set it all up for outdoor use.all of that sounds great, but as i write this the camera sells for under 40.it has not performed like a 40 camera. it has been rocksolid so far its stable, it has remained connected except for when i have had router issues, the image in the daytime is excellent and the nightvision mode is far and away better than i expected i can read license plates on cars in the driveway at night.this is not a complete security solution but rather is a single camera for zone security. there are more complete systems that offer more features and capabilities, but these cost a lot more and cover broader areas with multiple cameras. if you just need a single camera to monitor a fairly small area, and you have a wireless network to connect it to, this is a very affordable solution.",affordable smallsystem solution,better than i expected it is not a complete security solution but rather is a single camera for zone security,a very affordable single camera with no dedicated monitoring station for a very small area of the house,a very affordable single camera with no dedicated monitoring station for a very small area of the house.,better than i expected it is not a complete security solution but rather is a single camera for zone security
"i recently purchased a new windows laptop that has a type c connector, and i selected this unit to get more usb ports as well as the card reader. so far it has worked out well for me and it seems to work as designed, and with no tweaks or software installation required.this little unit is small and it easily fits in a shirt pocket though the cord does impact the way it fits in said pocket. its a little bigger than a comb but smaller than a candy bar. it feels solid and wellmade and so far has shown no signs of fatigue or weakness.i plugged it in and the fit was very snug so i had to work with it to get it plugged in properly. thats actually a positive it should not come unplugged unexpectedly when i move my laptop or plug something else into it, a problem i have had on occasion with microusb devices.windows recognized it immediately and it didnt seem to need any extra device drivers or anything to make it work. it picked up the ethernet interface as well as the usb hub, and thats really all i would expect before plugging in anything else. the card reader works and i was able to read images off of the card i use in my camera through this device.i have not yet tried it under linux but thats coming shortly. i also have an android tablet with a type c port with which i will try this device as well.i have not yet tried the hdmi adapter. i have a use for it as my laptop actually does not have an hdmi port onboard and id like to attach it to my television to stream video.would i add anything? i would have liked to see an integrated wireless adapter or a bluetooth receiver built in, though i have those built in to my system and adding those to this unit would drive up the cost a bit. i would probably make the unit slightly larger too.so far, this device has been solid for me. it works right out of the box without any setup required plug it in and youre ready to go.",no setup required it just works,works as designed with no tweaks or software installation required so far it has been solid for me,works as designed with no tweaks or software installation required so far it has been solid for me.,"works as designed, with no tweaks or software installation required so far it seems to work as designed",works as designed with no tweaks or software installation required so far it has been solid for me
"what can you really say about a usb stick flash drive? they either work or they dont. this worked good, with what seemed like faster speed that a 2.0 version. when plugged into a 3.0 usb port, it responded well. nice capacity too, as i would not buy anything less than 128gb these days, which is what this is.",good capacity seems quite fast,"works good, with what seemed like faster speed that a 2.0 version. nice capacity too, as i would not buy anything less than 128gb","nice flash drive, works well, works good, works fast, works with a 3.0 version","nice flash drive, works well, good speed, good capacity, good value.","works good, with what seemed like faster speed that a 2.0 version. nice capacity too, as i would not buy anything less than 128gb"
"ive been a clarion fan for over 20years and have used their latest products in each of my vehicles and even my boat throughout the years. i was really hoping this unit would meet my expectations and perform similarly to the entune unit in my toyota. sadly, the smart access features pales in comparison. its not very intuitive as far as using its features and the display becomes difficult to read or use via touchscreen when using any of the smart access apps i tried using waze, mobile facebook. its so bad, that i dont even use the smart access feature anymore which is sad considering this is why i bought the unit to begin with when listening to music via ipod connection, there is a nagging 1 second delay when selecting tracks using the forward 62 or back 60 icons . try to advance it 3 tracks and the unit falls behind and you have to pause to let it catch up. on the plus side, it sounds so much better than the clarion nx500 unit that it replaced. i wished i could have found one locally at an car audio shop so i could have played around with it first just to see how it performed. had i gone that route, i probably would have looked into purchasing something else. im really hoping clarion releases an firmware update to address or improve upon some of these issues.",hasnt met expectations,its not very intuitive as far as using its features and the display becomes difficult to read via touchscreen when using any of the smart access apps,not very intuitive as far as using its features and the display becomes difficult to read or use via touchscreen,its not very intuitive as far as using its features and the display becomes difficult to read via touchscreen when using any of the smart access apps,its not very intuitive as far as using its features and the display becomes difficult to read via touchscreen when using any of the smart access apps
"works well. i just wish it could play foreign discs. its coded to only play movies from region 1 usa, so im out 30 bucks since it wont play movies from region 4 i didnt know about all this region crap until now. from what ive read online, cheaper dvd players make them able to play all regions, so why sony had to go and limit theirs is pretty annoying. i also read that even if you get your dvd player to play a region 4 disc, a sony tv most likely wont play it for you. wonderful.thanks sony, gonna keep this in mind next time im in the market for any dvd players and tvs.",only plays region 1 discs,works well. i just wish it could play foreign discs. its coded to only play movies from region 1 usa,works well. i just wish it could play foreign discs. its coded to only play movies from region 1 usa,works well. i just wish it could play foreign discs. its coded to only play movies from region 1 usa,works well. i just wish it could play foreign discs. its coded to only play movies from region 1 usa
"i use these hed phones with my ipod classics, samsung s8, ipad, and hub may grab it for his iphone. the bluetooth connection is really easy with each device. you have to reset and resynch with each device. comfort is good, but if your head is biggerwider than average, it may feel tad right across circumference. the bass is fabulous, and you expect nothing less from senheiser. i thoroughly enjoyed the music experience. you can walk away by about 6 feet away from the device , provided no material obstruction. now, the instructions are decent, but it does take a little bit to understand them and then apply them! i wished the case was sturdier for this price range, it is just light nylon case with no support.","superb tones, especially bass.","fantastic bass, great sound quality, but not sturdier for this price range!","fantastic bass, but not sturdier for this price range, it is just light nylon case with no support","fantastic bass, but not sturdier for this price range, it is just a light nylon case","fantastic bass, great sound quality, but not sturdier for this price range!"
"love it! its sturdy and holds itself up. i feel like my laptop and electronics are protected in it. its at least partially water resistant, which is nice, since i live in a very humid environment. there are plenty of little pockets to organize anything i need to carry. it fits a lot too. i can comfortably pack a weekend bag in here, with my laptop and all of its accessories.",sturdy and roomy,love it! its sturdy and holds itself up. i feel like my laptop and electronics are protected in it,love it! its sturdy and holds itself up! i feel like my laptop and electronics are protected in it,love it! its sturdy and holds itself up! i feel like my laptop and electronics are protected in it,love it! its sturdy and holds itself up. i feel like my laptop and electronics are protected in it
"update i see a lot of people complaining about the drive capacity being wrong 465gb instead of 500gb or 960gb instead of 1tb and to those people i highly recommend going to youtube and searching what is overprovisioning? and clicking on the link by techquickie.samsung is not falsely advertising. the drive does in fact come with the advertised space its just that in order for it to work properly and perform optimally it requires approximately 10 of the capacity to be overprovisioned free space.this is a really great sata ssd for the price. its perfect for storing games that have long load times without paying a fortune for an nvme ssd of equal capacity. i highly recommend it for people like me who need more space for games, projects, and other things like that who want them to load quickly. you can get an hdd like a wd black for cheaper but the loading times will be much longer and for those who dont like to wait for long load screens this is a perfect choice.also dont forget to enable rapid mode. it uses ram to speed up the programs applications that you have been using recently. my crystaldisk benchmark shows how fast it is with rapid mode enabled.",great ssd for the price,great sata ssd for the price. great for games that have long load times,"great for games, projects, and other things like that who want them to load quickly.","great for games, projects, and other things like that who want them to load quickly.",great sata ssd for the price. great for games that have long load times
"i like these security signs. love that they are aluminum and rustweather proof. they are very simple to install with screw holes predrilled, although we mounted one in a window with a little bit of tape. the no trespassing note seemed a little aggressive for our front door, but perfect for our back sliding door. they are very visible and give a straightforward message. well made sign.","solid, pretty big, highly visible",very simple to install with screw holes predrilled with a little bit of tape.,"very simple to install with screw holes predrilled, although we mounted one in a window ...","very simple to install with screw holes predrilled, although we mounted one in a window",very simple to install with screw holes predrilled with a little bit of tape.
"love this camera. i wanted to get a decent camera for traveling this year instead of using my smart phone. the number of lenses and accessories you get for this price is an amazing deal. nothing was broken or scratched when it arrived. camera is pretty simple to use. if you are a beginner like me, i would recommend this camera bundle. i absolutely love the bag it came with. it fits all the lenses, camera, and accessories in it perfectly.",amazing price for what you get!,love this camera. i wanted to get a decent camera for traveling this year instead of,love this camera. i wanted to get a decent camera for traveling this year instead of using,love this camera. i wanted to get a decent camera for traveling this year instead of using,love this camera. i wanted to get a decent camera for traveling this year instead of
"i picked this up since it came with extra batteries and a charging station for pretty cheap 16. i simply wanted back ups if my regular gopro batteries died and also to be able to charge multiple batteries at once.so far ive noticed that the battery packs last only half the charge of the official gopro batteries. ive also noticed that the charging station sometimes doesnt charge the gopro batteries entirely. the display may also erroneously display a battery as fully charged when it isnt.because of this, i havent really trusted this dock to charge up the official batteries and instead only using the ones it comes with.despite the cons, its a good price for what you get and i ended up ordering a second set.note that i am using these with a gopro hero 7 black.pros charge multiple batteries charges gopro brand batteries too great value for pricecons sometimes doesnt charge batteries correctly doesnt charge gopro brand batteries entirely half the battery charge of gopro brand batteries",half the charge of a standard gopro battery,great value for the price but not as good as the official gopro brand batteries,great value for the price. sometimes doesnt charge batteries correctly doesnt charge gopro brand batteries entirely half the battery charge,great value for the price. sometimes doesnt charge batteries correctly doesnt charge gopro brand batteries entirely half the battery charge,great value for the price but not as good as the official gopro brand batteries
i received these just yesterday. they are good quality and i like that i can change the colors now that summer is coming! they feel comfy on my wrist and they seem to hold secure. they even come with some fasteners for extra security on the flap part of the band. im very pleased.,fun colors and good quality,"good quality, comfy and comfy! i like that i can change the colors!","good quality, comfy, comfortable, and easy to change colors and fit!","good quality, comfy and comfy. i like that i can change the colors now that summer is coming!","good quality, comfy and comfy! i like that i can change the colors!"
"videoidcdf8b33e99e1508fd7704db487b2faea if this light came with a mount, it would have been 5 stars. that said, i was still impressed with the functionality and quality of the light.it is quite compact, but surprisingly bright it has 20 leds!. while there is an onoff switch on the top of the light, the light is primarily controlled via an app. i was skeptical at first, but the app works pretty well and provides a lot of color customization ive included a short video showing some of the light configurations. as you can see in the video, the light responds immediately to the app and can display pretty much any color it was hard to capture the precise colors with my iphone camera.there is a screw hole on the bottom of the light that you can use to put the light on a mount, but unfortunately, one was not included. there was also a small platform ? screw included that allows the light to stand upright without a mount it wont stand on its own otherwise. with this screw on the light, i can balance it on top of my monitor for lighting my video calls. it is stable and hasnt fallen, but im not sure if this is a sustainable solution for video calls.the battery is 1000 mah and is charged via a usb c cable that is included. i have not tested how long the battery lasts.i would recommend the light if you already have a mount, otherwise i would skip it.",a surprisingly good light...but no mount included!!,"very compact, but surprisingly bright it has 20 leds!. while there is an onoff switch on the top of the light ...","very compact, but surprisingly bright it has 20 leds!. while there is an onoff switch on the top of the light,","very compact, but surprisingly bright it has 20 leds!. while there is an onoff switch on the top of the light ...","very compact, but surprisingly bright it has 20 leds!. while there is an onoff switch on the top of the light ..."
"i purchased this digital frame on a treasure truck deal it works. you will have to load the app and follow directions to bluetooth transfer pics you choose from your gallery to the frame. i purchased an additional memory chip but it turns out there is no place to install the chip so dont waste your time there. you can set a regular time to run the frame or manually turn it off andor on. you can shuffle or play all your uploaded pics. you do not get to choose the fade that happens between pics, but you do get to choose how long each pic stays on the frame before moving to the next pic. picture quality is pretty good about as good as the pics you download on to it. its close to an 8x10 frame. not sure why they call it a touch screen cause i cant figure out what you can do by touching the screen but ok. it comes with charging cord, regular plug in there appears to be a mini usb port, but i havent tried it. having said all this i never hesitate to update my reviews should new info seem useful.",nixplay 10.1 touch screen digital picture frame,"very good picture quality, no touch screen, no memory chip, no shuffle or fade between pics","great picture quality, no touch screen, no memory chip, no fade between pics, no shuffle","great picture quality, no touch screen, no memory chip, no fade between pics, no shuffle","very good picture quality, no touch screen, no memory chip, no shuffle or fade between pics"
"so far so good! just got it today. i am surprised at not only how attractive it is but also how roomy it is, which is important as a law student. and the laptop sleeve fits my macbook pro and cushions it well. it also has a tablet sleeve which fits my ipad pro 2 the largest size 12 inches perfectly with room to spare. i carry both the macbook and the ipad everyday. also carries my large noise cancelling headphones and their case plus two large pencil pouches with a lot of room to spare. its perfect. no more rolling schoolbags for me.time will tell if this holds up. but if it lasts at least a year, id say ive gotten my moneys worth based off of the roominess and ease of accessing my stuff. it is rare i find a bag that is roomy enough and has enough compartments to hold all of my law stuff.",so roomy and perfect for electronics. lots of pouches,so far so good! just got it today. i am surprised at not only how attractive it is ...,so far so good! just got it today. i am surprised at not only how attractive it is ...,so far so good! just got it today. i am surprised at not only how attractive it is ...,so far so good! just got it today. i am surprised at not only how attractive it is ...
"just received this product, hesitated to buy it. but i love all samsung products, they are more ad expected, for quality, and the little make life easier things. i own a phone which i love from samsung, then i bought a washing machine, recently a microwave, refrigerator, my husband owns for 5 years a samsun 60 inch tv. i am amazed by the details and quality of everything, inside and out of the products. just received this tv 24inch in for my kitchen, beautiful, color, so easy to set up, needed no help from my husband. even the clicker is first class. so easy to adjust on this tv. i am so pleased i purchased this quality product. it is no cheap looking. i went to sams for black friday, no samsung even close for this price, another brand was 299.00 for the 24 inch. i already told my husband, if samsung makes the product it is first class. since i am from germany i own a bosch washer for the last 15 years, i would not hesitate to replace it with a samsung. samsung does not make dishwashersdo not hesitate to buy this tv, you will be pleased.",samsung quality love it.,"great quality product, easy to set up, easy for my husband to adjust, and easy to use.","great product, great price, great quality, easy to set up and easy to adjust.","great quality, easy to set up, and easy to adjust. i am so pleased i purchased this quality product.","great quality product, easy to set up, easy for my husband to adjust, and easy to use."
"i love the surfs up beach pattern on this soft computer bag! and its printed on both sides. this carrying case is also super lightweight, so its great for traveling and everyday use, and its ideally sized to fit small laptops or tablets. the convertible strap feature is awesome, and the handles are comfortable and well placed. when not using the adjustable strap, the black plastic drings still blend into the design and dont seem to be in the way. this product also features smooth zipper construction throughout and the extra side pocket on the front is great for little cords and accessories. the interior is lined in a fuzzy black cotton felt sort of fabric, so it seems to offer plenty of cushiony support for the electronic devices within. ive had no issues or concerns with this one!",taking myself and my tablet to the beach!!,love the surfs up beach pattern on this soft computer bag! and its printed on both sides!,love the surfs up beach pattern on this soft computer bag! and its printed on both sides!,love the surfs up beach pattern on this soft computer bag! and its printed on both sides!,love the surfs up beach pattern on this soft computer bag! and its printed on both sides!
"for the price you get awesome quality! picture comes across very clear.we needed one for the kids play area when its movie night, i didnt want one to large and this 60 inch fits perfectly.you can also collapse it when not in use, plus, it comes with a carrying bag if you want to store it.","crisp, clear image!",great for the price you get awesome quality! picture comes across very clear and fits perfectly!,great quality for the price you get awesome quality! picture comes across very clear.,for the price you get awesome quality! picture comes across very clear and comes with a carrying bag!,great for the price you get awesome quality! picture comes across very clear and fits perfectly!
"i love this 34echo show34 and use it for so many things during the day and evening. entertainment, help around the house, answering all my questions, etc.etc. it amazes me, and so easy to use. i ask a question and get answers, i need a recipe and there it is, i do not write my shopping list, alexa does it for me. in my kitchen it is magic for me, no need for getting out my recipe books anymore just follow the recipe on the screen.music, i cannot say enough about that, sheer pleasure!!. the tone of the music is so perfect, the video so enjoyable, shows the singer and words follow on the screen so you can sing along. gee, all i can say is alexa you are magic.so totally well worth every penny spent. amazon, this is a definite keeper, you will never get this back from meunless it quits working, and i know amazon is so good to follow up on problems","buy it, you will not regret it.","easy to use, easy to follow, and alexa is a keeper!!","easy to use, easy to follow, and alexa is a keeper!!","easy to use, easy to read, simple to understand, and easy to follow","easy to use, easy to follow, and alexa is a keeper!!"
"updated with an apology to sennheiser it turned out that the muddy sound i was getting from these headphones were from my laptop, not from the headphones. i have since gotten a new ipod touch as well as used them on a high end stereo system. the bluetooth is friggin awesome. with my ipod on a dock i can use these throughout my entire apartment including lobby with no drops or distortion.i apologize to sennheiser for mistakenly blaming the headphones. here is the original review, unchanged. please note that any notes about the bluetooth quality is in error. i have also raised my review to the full five stars it deserves, 9 months later and i love these headphones.i was very happy to receive a reviewer pair of these head phones. they promise a great audio experience and for the most part they truly deliver. i have recently moved into a very quiet apartment complex and was looking forward to being able to continue cranking my music while not disturbing my neighbors.i was impressed unboxing the headphones. these headphones are nicely engineered and i listened to them hardwired while charging the batteries, i was very happy with the sound quality. the fit and comfort were nice, but a little warm and confining when compared to ear buds. but, i lost a little love when using the bluetooth option. the bluetooth set up was easy enough, but it was a little muddy when connected to my laptop. also the range was about 15 feet, and only line of sight so i could not leave the room without skips and dropouts.the only other word of critique i have for them is that their noise canceling is a little too effective. i find myself missing phone calls when just 10 feet from the ringing phone. these are very nice headphones when listening with the included headphone cable, but dont live up to their bluetooth promise for me. i dont know if i would be very impressed for the price. they are nice, but perhaps not 300 nice.",i owe sennheiser and apology,"nice headphones, but not as good as the bluetooth sound quality i was expecting","great headphones, but bluetooth is a little muddy and not as good as i expected","great headphones, but bluetooth not up to expectations. nice, but not great.","nice headphones, but not as good as the bluetooth sound quality i was expecting"
